feature,imp_RF,corr_max_V4,correlata_V4,motivo
leaves_corrob.skewness,0.00284587132014962,0.9048556300261617,leaves_corrob.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
nodes_per_level.kurtosis,0.002840613123613772,0.6296742823087867,nodes_per_level.skewness,Nao escolhida pelo GA (redundante no conjunto)
leaves_corrob.median,0.0028347341965531793,0.6236575544306328,mut_inf.kurtosis,Redundante (cortada no filtro de correlacao V3)
kurtosis.max,0.002827743291103923,0.3956749344390238,n2.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
cov.iq_range,0.0028277071334726527,0.832684842078819,cov.max,Nao escolhida pelo GA (redundante no conjunto)
cor.kurtosis,0.0028024843138867036,0.4442578127188374,attr_ent.iq_range,Nao escolhida pelo GA (redundante no conjunto)
attr_conc.skewness,0.0027846321039434853,0.39051675045041867,attr_ent.iq_range,Nao escolhida pelo GA (redundante no conjunto)
skewness.min,0.0027764471422701553,0.32972127353227376,sparsity.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
random_node.skewness,0.002768947515224524,0.17535405784966104,l1.iq_range,Nao escolhida pelo GA (redundante no conjunto)
nodes_per_level.max,0.002767841487675151,0.7749984187218764,nodes_per_attr,Redundante (cortada no filtro de correlacao V3)
tree_shape.iq_range,0.002759153871320468,0.512139349915759,leaves_branch.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
class_conc.iq_range,0.0027531562639071133,0.478270855712577,f1.iq_range,Nao escolhida pelo GA (redundante no conjunto)
class_conc.max,0.002743383017837139,0.5514823253782433,mut_inf.max,Nao escolhida pelo GA (redundante no conjunto)
kurtosis.iq_range,0.0027309102202856257,0.4574521908551727,sparsity.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
random_node.mean,0.0027296754904615615,0.9611307278949803,random_node.max,Redundante (cortada no filtro de correlacao V3)
range.skewness,0.0027144917309301973,0.7265902728119646,max.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
attr_conc.max,0.0027035403476124696,0.797470760083166,attr_conc.sd,Nao escolhida pelo GA (redundante no conjunto)
max.min,0.002692311130382709,0.8321275964966932,cov.max,Redundante (cortada no filtro de correlacao V3)
gravity,0.002672984562689632,0.8263769492092061,iq_range.sd,Redundante (cortada no filtro de correlacao V3)
hubs.iq_range,0.002668866483293221,0.6467566767715556,leaves_per_class.max,Nao escolhida pelo GA (redundante no conjunto)
